"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";
"D50";"1N4148DO35-7";"1N4148DO35-7";"DO35-7";"DIODE";"";"";"";"";"";
"DHT";"";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"";
"JP_3V3";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"98";
"JP_5V";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"98";
"LED2";"";"LED3MM";"LED3MM";"LED";"";"";"";"";"97";
"LED18";"";"LED3MM";"LED3MM";"LED";"";"";"";"";"97";
"LED19";"";"LED3MM";"LED3MM";"LED";"";"";"";"";"97";
"LED21";"";"LED3MM";"LED3MM";"LED";"";"";"";"";"97";
"NEO";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"";
"PIR";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"";
"R1";"220";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";
"R2";"10k";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";
"R3";"10k";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";
"R10";"220";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";
"R11";"220";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";
"R12";"220";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";
"R30";"10k";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";
"R40";"1k";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";
"R41";"10k";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";
"S0";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"B3F-1000";"176432";"36M3542";"72";
"T50";"BC547";"BC547";"TO92";"NPN TRANSISTOR";"";"";"";"";"";
"TEMT6000";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"";
"U$1";"ESP32DEVKITC";"ESP32DEVKITC";"ESP32-DEVKITC";"";"";"";"";"";"";
"U$2";"";"BRAND_SWI5X7";"BRAND_SWI_5X7";"";"";"";"";"";"";
"U50";"RELAYPTH";"RELAYPTH";"SRD-05VDC-SL-C";"SPDT relay (COM-00101)";"";"";"";"";"";
"X1";"";"W237-02P";"W237-132";"WAGO SREW CLAMP";"";"";"unknown";"unknown";"";
"X2";"";"W237-02P";"W237-132";"WAGO SREW CLAMP";"";"";"unknown";"unknown";"";
